SSC_CODE_2016,SSC_NAME_2016,LGA_CODE_2019,LGA_NAME_2019,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10158,Ballalaba,16490,Queanbeyan-Palerang Regional (A),1,Good,Good,0
10159,Balldale,12870,Federation (A),0.7950311,Good,Good,0
10159,Balldale,13340,Greater Hume Shire (A),0.2049689,Good,Good,0
10160,Ballengarra,16380,Port Macquarie-Hastings (A),1,Good,Good,0
10161,Ballimore,12390,Dubbo Regional (A),1,Good,Good,0
10162,Ballina,10250,Ballina (A),1,Good,Good,0
10163,Ballyroe,16100,Oberon (A),1,Good,Good,0
10164,Balmain,14170,Inner West (A),1,Good,Good,0
10165,Balmain East,14170,Inner West (A),1,Good,Good,0
10165,Balmain East,17200,Sydney (C),0,Good,Good,1
10166,Balmoral (Lake Macquarie - NSW),14650,Lake Macquarie (C),1,Good,Good,0
10167,Balmoral (Wingecarribee - NSW),18350,Wingecarribee (A),1,Good,Good,0
10168,Balranald,10300,Balranald (A),1,Good,Good,0
10169,Bamarang,16950,Shoalhaven (C),1,Good,Good,0
10170,Banda Banda,16380,Port Macquarie-Hastings (A),1,Good,Good,0
10171,Bandon Grove,12700,Dungog (A),1,Good,Good,0
10172,Bangadang,17080,Snowy Valleys (A),1,Good,Good,0
10173,Bangalee (NSW),16950,Shoalhaven (C),1,Good,Good,0
10174,Bangalow,11350,Byron (A),1,Good,Good,0
10175,Bangheet,13660,Gwydir (A),1,Good,Good,0
10176,Bango,18710,Yass Valley (A),1,Good,Good,0
10177,Bangor (NSW),17150,Sutherland Shire (A),1,Good,Good,0
10178,Banksia,10500,Bayside (A),1,Good,Good,0
10179,Banksmeadow,10500,Bayside (A),1,Good,Good,0
10180,Bankstown,11570,Canterbury-Bankstown (A),1,Good,Good,0
10181,Bankstown Aerodrome,11570,Canterbury-Bankstown (A),1,Good,Good,0
10182,Bannaby,17640,Upper Lachlan Shire (A),1,Good,Good,0
10183,Bannister (NSW),17640,Upper Lachlan Shire (A),1,Good,Good,0
10184,Banoon,17310,Tamworth Regional (A),1,Good,Good,0
10185,Banora Point,17550,Tweed (A),1,Good,Good,0
10186,Banyabba,11730,Clarence Valley (A),0.9999996,Good,Good,0
10186,Banyabba,16610,Richmond Valley (A),4e-07,Good,Good,1
10187,Bar Beach,15900,Newcastle (C),1,Good,Good,0
10188,Bar Point,11650,Central Coast (C) (NSW),1,Good,Good,0
10189,Bara,15270,Mid-Western Regional (A),1,Good,Good,0
10190,Baradine,18020,Warrumbungle Shire (A),1,Good,Good,0
10191,Barangaroo,17200,Sydney (C),1,Good,Good,0
10192,Barcoongere,11730,Clarence Valley (A),0.5714286,Good,Good,0
10192,Barcoongere,11800,Coffs Harbour (C),0.4285714,Good,Good,0
10193,Barden Ridge,17150,Sutherland Shire (A),1,Good,Good,0
10194,Bardia,11500,Campbelltown (C) (NSW),1,Good,Good,0
10195,Bardwell Park,10500,Bayside (A),1,Good,Good,0
10196,Bardwell Valley,10500,Bayside (A),1,Good,Good,0
10197,Barellan,10800,Bland (A),0.0705009,Good,Good,0
10197,Barellan,15800,Narrandera (A),0.9294991,Good,Good,0
10198,Bargo,18350,Wingecarribee (A),0,Good,Good,1
10198,Bargo,18400,Wollondilly (A),1,Good,Good,0
10199,Barham,15520,Murray River (A),1,Good,Good,0
10200,Barigan,15270,Mid-Western Regional (A),1,Good,Good,0
10201,Barkers Vale,14550,Kyogle (A),1,Good,Good,0
10202,Barmedman,10800,Bland (A),0.9274725,Good,Good,0
10202,Barmedman,17350,Temora (A),0.0725275,Good,Good,0
10203,Barneys Reef,15270,Mid-Western Regional (A),1,Good,Good,0
10204,Barnsley,14650,Lake Macquarie (C),1,Good,Good,0
10205,Barooga,10650,Berrigan (A),1,Good,Good,0
10206,Barraba,13660,Gwydir (A),0.0028715,Good,Good,1
10206,Barraba,17310,Tamworth Regional (A),0.9971285,Good,Good,0
10207,Barrack Heights,16900,Shellharbour (C),1,Good,Good,0
10208,Barrack Point,16900,Shellharbour (C),1,Good,Good,0
10209,Barraganyatti,14350,Kempsey (A),1,Good,Good,0
10210,Barragga Bay,10550,Bega Valley (A),1,Good,Good,0
10211,Barratta (NSW),12730,Edward River (A),1,Good,Good,0
10212,Barren Grounds,14400,Kiama (A),0.5,Good,Good,0
10212,Barren Grounds,16950,Shoalhaven (C),0.5,Good,Good,0
10213,Barrengarry,16950,Shoalhaven (C),1,Good,Good,0
10214,Barretts Creek,11730,Clarence Valley (A),1,Good,Good,0
10215,Barringella,16950,Shoalhaven (C),1,Good,Good,0
10216,Barrington (NSW),15240,Mid-Coast (A),1,Good,Good,0
10217,Barrington Tops,15240,Mid-Coast (A),1,Good,Good,0
10218,Barry (Blayney - NSW),10850,Blayney (A),1,Good,Good,0
10219,Barry (Upper Hunter Shire - NSW),17310,Tamworth Regional (A),0.9999975,Good,Good,0
10219,Barry (Upper Hunter Shire - NSW),17620,Upper Hunter Shire (A),2.5e-06,Good,Good,1
10220,Barwang,13910,Hilltops (A),1,Good,Good,0
10221,Barwon,18020,Warrumbungle Shire (A),1,Good,Good,0
10222,Baryulgil,11730,Clarence Valley (A),1,Good,Good,0
10223,Basin View,16950,Shoalhaven (C),1,Good,Good,0
10224,Bass Hill,11570,Canterbury-Bankstown (A),1,Good,Good,0
10225,Bassendean (NSW),10130,Armidale Regional (A),1,Good,Good,0
10226,Batar Creek,16380,Port Macquarie-Hastings (A),1,Good,Good,0
10227,Bateau Bay,11650,Central Coast (C) (NSW),1,Good,Good,0
10228,Batehaven,12750,Eurobodalla (A),1,Good,Good,0
10229,Batemans Bay,12750,Eurobodalla (A),1,Good,Good,0
10230,Bathampton,10470,Bathurst Regional (A),1,Good,Good,0
10231,Bathurst,10470,Bathurst Regional (A),1,Good,Good,0
10232,Batlow,17080,Snowy Valleys (A),1,Good,Good,0
10233,Baulkham Hills,16260,Parramatta (C),0.0256431,Good,Good,0
10233,Baulkham Hills,17420,The Hills Shire (A),0.9743569,Good,Good,0
10234,Baw Baw (NSW),13310,Goulburn Mulwaree (A),1,Good,Good,0
10235,Bawley Point,16950,Shoalhaven (C),1,Good,Good,0
10236,Baxters Ridge,15240,Mid-Coast (A),1,Good,Good,0
10237,Bayview (NSW),15990,Northern Beaches (A),1,Good,Good,0
10238,Beacon Hill,15990,Northern Beaches (A),1,Good,Good,0
10239,Beaconsfield (NSW),17200,Sydney (C),1,Good,Good,0
10240,Bean Creek,14550,Kyogle (A),1,Good,Good,0
10241,Bearbong,12950,Gilgandra (A),1,Good,Good,0
10242,Beaumont (NSW),16950,Shoalhaven (C),1,Good,Good,0
10243,Beaumont Hills,17420,The Hills Shire (A),1,Good,Good,0
10244,Beckom,10800,Bland (A),0.2016129,Good,Good,0
10244,Beckom,12000,Coolamon (A),0.7983871,Good,Good,0
10245,Bective,17310,Tamworth Regional (A),1,Good,Good,0
10246,Bectric,17350,Temora (A),1,Good,Good,0
10247,Bedgerabong,12900,Forbes (A),1,Good,Good,0
10248,Beechwood,16380,Port Macquarie-Hastings (A),1,Good,Good,0
10249,Beecroft,14000,Hornsby (A),0.7241965,Acceptable,Good,0
10249,Beecroft,16260,Parramatta (C),0.2758035,Good,Good,0
10250,Beecroft Peninsula,16950,Shoalhaven (C),1,Good,Good,0
10251,Beelbangera,13450,Griffith (C),1,Good,Good,0
10252,Beemunnel,17950,Warren (A),1,Good,Good,0
10253,Bega,10550,Bega Valley (A),1,Good,Good,0
10254,Beggan Beggan,13910,Hilltops (A),1,Good,Good,0
10255,Belanglo,18350,Wingecarribee (A),1,Good,Good,0
10256,Belbora,15240,Mid-Coast (A),1,Good,Good,0
10257,Belfield,11570,Canterbury-Bankstown (A),0.7751067,Good,Good,0
10257,Belfield,17100,Strathfield (A),0.2248933,Acceptable,Good,0
10258,Belford,17000,Singleton (A),1,Good,Good,0
10259,Belfrayden,17750,Wagga Wagga (C),1,Good,Good,0
10260,Belgravia,11400,Cabonne (A),1,Good,Good,0
10261,Belimbla Park,18400,Wollondilly (A),1,Good,Good,0
10262,Bell (NSW),10900,Blue Mountains (C),0.9999996,Good,Good,0
10262,Bell (NSW),14870,Lithgow (C),4e-07,Good,Good,1
10263,Bella Vista,17420,The Hills Shire (A),1,Good,Good,0
10264,Bellambi,18450,Wollongong (C),1,Good,Good,0
10265,Bellangry,16380,Port Macquarie-Hastings (A),1,Good,Good,0
10266,Bellata,15300,Moree Plains (A),0.1260745,Good,Good,0
10266,Bellata,15750,Narrabri (A),0.8739255,Good,Good,0
10267,Bellawongarah,16950,Shoalhaven (C),1,Good,Good,0
10268,Bellbird,11720,Cessnock (C),1,Good,Good,0
10269,Bellbird Heights,11720,Cessnock (C),1,Good,Good,0
10270,Bellbrook,14350,Kempsey (A),1,Good,Good,0
10271,Bellevue Hill,18500,Woollahra (A),1,Acceptable,Good,0
10272,Bellimbopinni,14350,Kempsey (A),1,Good,Good,0
10273,Bellingen,10600,Bellingen (A),1,Good,Good,0
10274,Bellmount Forest,17640,Upper Lachlan Shire (A),0.1652893,Good,Good,0
10274,Bellmount Forest,18710,Yass Valley (A),0.8347107,Good,Good,0
10275,Belltrees,17620,Upper Hunter Shire (A),1,Good,Good,0
10276,Belmont (NSW),14650,Lake Macquarie (C),1,Good,Good,0
10277,Belmont North,14650,Lake Macquarie (C),1,Good,Good,0
10278,Belmont South,14650,Lake Macquarie (C),1,Good,Good,0
10279,Belmore,11570,Canterbury-Bankstown (A),1,Good,Good,0
10280,Belmore River,14350,Kempsey (A),1,Good,Good,0
10281,Beloka,17040,Snowy Monaro Regional (A),1,Good,Good,0
10282,Belowra,12750,Eurobodalla (A),1,Good,Good,0
10283,Belrose,15990,Northern Beaches (A),1,Good,Good,0
10284,Bemboka,10550,Bega Valley (A),1,Good,Good,0
10285,Ben Bullen,14870,Lithgow (C),1,Good,Good,0
10286,Ben Lomond (NSW),10130,Armidale Regional (A),0.8441558,Good,Good,0
10286,Ben Lomond (NSW),13010,Glen Innes Severn (A),0.1558442,Good,Good,0
10287,Benandarah,12750,Eurobodalla (A),1,Good,Good,0
10288,Bendalong,16950,Shoalhaven (C),1,Good,Good,0
10289,Bendemeer,17310,Tamworth Regional (A),1,Good,Good,0
10290,Bendick Murrell,13910,Hilltops (A),1,Good,Good,0
10291,Bendolba,12700,Dungog (A),1,Good,Good,0
10292,Bendoura,16490,Queanbeyan-Palerang Regional (A),1,Good,Good,0
10293,Benerembah,11600,Carrathool (A),0.02963,Good,Good,0
10293,Benerembah,13450,Griffith (C),0.97037,Good,Good,0
10294,Bengalla,15650,Muswellbrook (A),1,Good,Good,0
10295,Bennetts Green,14650,Lake Macquarie (C),1,Good,Good,0
10296,Benolong,12390,Dubbo Regional (A),1,Good,Good,0
10297,Bensville,11650,Central Coast (C) (NSW),1,Good,Good,0
10298,Bentley (NSW),14850,Lismore (C),0.2401961,Good,Good,0
10298,Bentley (NSW),16610,Richmond Valley (A),0.7598039,Good,Good,0
10299,Berala,12380,Cumberland (A),1,Good,Good,0
10300,Berambing,10900,Blue Mountains (C),0.1238095,Good,Good,0
10300,Berambing,13800,Hawkesbury (C),0.8761905,Good,Good,0
10301,Beresfield,15900,Newcastle (C),1,Good,Good,0
10302,Bergalia,12750,Eurobodalla (A),1,Good,Good,0
