SA1_MAINCODE_2016,SA1_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10104101806,10104101806,1,Good,Good,0
10104101807,10104101807,1,Good,Good,0
10104101808,10104101808,1,Good,Good,0
10104101809,10104101809,1,Good,Good,0
10104101810,10104101810,1,Good,Good,0
10104101811,10104101811,1,Good,Good,0
10104101812,10104101812,1,Good,Good,0
10104101813,10104101813,1,Good,Good,0
10104101814,10104101814,1,Good,Good,0
10104101815,10104101815,1,Good,Good,0
10104101816,10104101816,1,Good,Good,0
10104101817,10104101817,1,Good,Good,0
10104101818,10104101818,1,Good,Good,0
10104101819,10104101819,1,Good,Good,0
10104101820,10104101820,1,Good,Good,0
10104101821,10104101821,1,Good,Good,0
10104101822,10104101822,1,Good,Good,0
10104101823,10104101823,1,Good,Good,0
10104101824,10104101824,1,Good,Good,0
10104101901,10104101901,1,Good,Good,0
10104101902,10104101902,1,Good,Good,0
10104101903,10104101903,1,Good,Good,0
10104101904,10104101904,1,Good,Good,0
10104101905,10104101905,1,Good,Good,0
10104101906,10104101906,1,Good,Good,0
10104101907,10104101907,1,Good,Good,0
10104101909,10104101925,1,Acceptable,Good,0
10104101911,10104101911,1,Good,Good,0
10104101912,10104101912,1,Good,Good,0
10104101913,10104101913,1,Good,Good,0
10104101914,10104101927,0.1691038,Poor,Good,0
10104101914,10104101928,0.8308962,Acceptable,Good,0
10104101915,10104101915,1,Good,Good,0
10104101916,10104101924,0.7793134,Acceptable,Good,0
10104101916,10104101932,0.2206866,Poor,Good,0
10104101917,10104101917,1,Good,Good,0
10104101918,10104101918,1,Good,Good,0
10104101919,10104101919,1,Good,Good,0
10104101920,10104101920,1,Good,Good,0
10104101921,10104101921,1,Good,Good,0
10104101922,10104101926,1,Good,Good,0
10104101922,10104101930,0,Poor,Good,1
10104101923,10104101925,0.0882976,Acceptable,Good,0
10104101923,10104101929,0.5605387,Poor,Good,0
10104101923,10104101931,0.1211654,Poor,Good,0
10104101923,10104101933,0.2299984,Poor,Good,0
10104102001,10104102001,1,Good,Good,0
10104102002,10104102002,1,Good,Good,0
10104102003,10104102003,1,Good,Good,0
10104102004,10104102004,1,Good,Good,0
10104102005,10104102005,1,Good,Good,0
10104102006,10104102006,1,Good,Good,0
10104102007,10104102007,1,Good,Good,0
10104102008,10104102008,1,Good,Good,0
10104102009,10104102009,1,Good,Good,0
10104102010,10104102010,1,Good,Good,0
10104102011,10104102011,1,Good,Good,0
10104102012,10104102012,1,Good,Good,0
10104102013,10104102013,1,Good,Good,0
10104102014,10104102014,1,Good,Good,0
10104102015,10104102015,1,Good,Good,0
10104102016,10104102016,1,Good,Good,0
10104102017,10104102017,1,Good,Good,0
10104102018,10104102018,1,Good,Good,0
10104102019,10104102019,1,Good,Good,0
10104102020,10104102020,1,Good,Good,0
10104102021,10104102021,1,Good,Good,0
10104102022,10104102022,1,Good,Good,0
10104102023,10104102023,1,Good,Good,0
10104102024,10104102024,1,Good,Good,0
10104102025,10104102025,1,Good,Good,0
10104102026,10104102026,1,Good,Good,0
10104102027,10104102027,1,Good,Good,0
10104102028,10104102028,1,Good,Good,0
10104102029,10104102029,1,Good,Good,0
10104102030,10104102030,1,Good,Good,0
10104102031,10104102031,1,Good,Good,0
10104102032,10104102032,1,Good,Good,0
10104102101,10104102110,1,Good,Good,0
10104102102,10104102102,1,Good,Good,0
10104102104,10104102104,1,Good,Good,0
10104102105,10104102105,1,Good,Good,0
10104102106,10104102106,1,Good,Good,0
10104102107,10104102107,1,Good,Good,0
10104102108,10104102108,1,Good,Good,0
10104102109,10104102110,0.1000072,Good,Good,0
10104102109,10104102111,0.8999928,Acceptable,Good,0
10104102201,10104102201,1,Good,Good,0
10104102301,10104102301,1,Good,Good,0
10104102302,10104102302,1,Good,Good,0
10104102303,10104102303,1,Good,Good,0
10104102304,10104102304,1,Good,Good,0
10104102305,10104102305,1,Good,Good,0
10104102306,10104102306,1,Good,Good,0
10104102307,10104102307,1,Good,Good,0
10104102308,10104102308,1,Good,Good,0
10104102309,10104102309,1,Good,Good,0
10104102310,10104102310,1,Good,Good,0
10104102401,10104102401,1,Good,Good,0
10104102402,10104102402,1,Good,Good,0
10104102403,10104102403,1,Good,Good,0
10104102404,10104102404,1,Good,Good,0
10104102405,10104102405,1,Good,Good,0
10104102406,10104102406,1,Good,Good,0
10104102407,10104102407,1,Good,Good,0
10104102408,10104102408,1,Good,Good,0
10104102409,10104102409,1,Good,Good,0
10104102410,10104102410,1,Good,Good,0
10104102411,10104102411,1,Good,Good,0
10104102412,10104102412,1,Good,Good,0
10104102501,10104102501,1,Good,Good,0
10104102502,10104102502,1,Good,Good,0
10104102503,10104102503,1,Good,Good,0
10104102504,10104102504,1,Good,Good,0
10104102505,10104102505,1,Good,Good,0
10104102506,10104102506,1,Good,Good,0
10104102507,10104102507,1,Good,Good,0
10104102508,10104102508,1,Good,Good,0
10104102509,10104102509,1,Good,Good,0
10104102510,10104102510,1,Good,Good,0
10104102511,10104102511,1,Good,Good,0
10104102512,10104102512,1,Good,Good,0
10104102513,10104102513,1,Good,Good,0
10104102514,10104102514,1,Good,Good,0
10104102516,10104102516,1,Good,Good,0
10104102517,10104102517,1,Good,Good,0
10104102518,10104102518,1,Good,Good,0
10104102519,10104102519,1,Good,Good,0
10104102520,10104102520,1,Good,Good,0
10104102521,10104102521,1,Good,Good,0
10104102522,10104102522,1,Good,Good,0
10104102523,10104102523,1,Good,Good,0
10104102524,10104102524,1,Good,Good,0
10104102525,10104102525,1,Good,Good,0
10104102526,10104102526,1,Good,Good,0
10104102527,10104102527,1,Good,Good,0
10104102528,10104102528,1,Good,Good,0
10104102529,10104102529,1,Good,Good,0
10104102530,10104102530,1,Good,Good,0
10104102531,10104102531,1,Good,Good,0
10104102532,10104102532,1,Good,Good,0
10104102601,10104102601,1,Good,Good,0
10104102602,10104102626,0.9321836,Good,Good,0
10104102602,10104102627,0.0678164,Poor,Good,0
10104102603,10104102603,1,Good,Good,0
10104102604,10104102604,1,Good,Good,0
10104102605,10104102605,1,Good,Good,0
10104102606,10104102606,1,Good,Good,0
10104102607,10104102607,1,Good,Good,0
10104102608,10104102608,1,Good,Good,0
10104102609,10104102609,1,Good,Good,0
10104102610,10104102610,1,Good,Good,0
10104102611,10104102611,1,Good,Good,0
10104102612,10104102624,0.8817301,Acceptable,Good,0
10104102612,10104102625,0.1182699,Poor,Good,0
10104102613,10104102613,1,Good,Good,0
10104102614,10104102614,1,Good,Good,0
10104102615,10104102615,1,Good,Good,0
10104102616,10104102616,1,Good,Good,0
10104102617,10104102617,1,Good,Good,0
10104102618,10104102618,1,Good,Good,0
10104102619,10104102619,1,Good,Good,0
10104102620,10104102620,1,Good,Good,0
10104102621,10104102621,1,Good,Good,0
10104102622,10104102622,1,Good,Good,0
10104102623,10104102623,1,Good,Good,0
10104102701,10104102701,1,Good,Good,0
10104102702,10104102702,1,Good,Good,0
10104102703,10104102703,1,Good,Good,0
10104102704,10104102704,1,Good,Good,0
10104102705,10104102705,1,Good,Good,0
10104102706,10104102706,1,Good,Good,0
10104102707,10104102707,1,Good,Good,0
10104102708,10104102708,1,Good,Good,0
10104102709,10104102709,1,Good,Good,0
10104102710,10104102710,1,Good,Good,0
10104102711,10104102711,1,Good,Good,0
10104102712,10104102712,1,Good,Good,0
10104102713,10104102713,1,Good,Good,0
10104102714,10104102714,1,Good,Good,0
10104102715,10104102715,1,Good,Good,0
10104102716,10104102716,1,Good,Good,0
10104102717,10104102732,1,Good,Good,0
10104102718,10104102731,1,Good,Good,0
10104102719,10104102719,1,Good,Good,0
10104102720,10104102720,1,Good,Good,0
10104102721,10104102721,1,Good,Good,0
10104102722,10104102722,1,Good,Good,0
10104102723,10104102723,1,Good,Good,0
10104102724,10104102724,1,Good,Good,0
10104102725,10104102725,1,Good,Good,0
10104102726,10104102726,1,Good,Good,0
10104102727,10104102730,0.0920464,Poor,Good,0
10104102727,10104102733,0.9079536,Good,Good,0
10104102728,10104102728,1,Good,Good,0
10104102729,10104102729,1,Good,Good,0
10105153901,10105153901,1,Good,Good,0
10105153902,10105153902,1,Good,Good,0
10105153903,10105153903,1,Good,Good,0
10105153904,10105153904,1,Good,Good,0
10105153905,10105153905,1,Good,Good,0
10105153906,10105153906,1,Good,Good,0
10105153907,10105153907,1,Good,Good,0
10105153908,10105153968,4.30E-06,Poor,Good,1
10105153908,10105153969,0.4698452,Poor,Good,0
10105153908,10105153970,0.5301505,Poor,Good,0
10105153909,10105153909,1,Good,Good,0
10105153910,10105153910,1,Good,Good,0
10105153911,10105153911,1,Good,Good,0
10105153912,10105153912,1,Good,Good,0
10105153913,10105153913,1,Good,Good,0
10105153914,10105153914,1,Good,Good,0
10105153915,10105153915,1,Good,Good,0
10105153916,10105153916,1,Good,Good,0
10105153917,10105153917,1,Good,Good,0
10105153918,10105153918,1,Good,Good,0
10105153919,10105153919,1,Good,Good,0
10105153920,10105153920,1,Good,Good,0
10105153921,10105153921,1,Good,Good,0
10105153922,10105153922,1,Good,Good,0
10105153923,10105153923,1,Good,Good,0
10105153924,10105153924,1,Good,Good,0
10105153925,10105153925,1,Good,Good,0
10105153926,10105153926,1,Good,Good,0
10105153927,10105153927,1,Good,Good,0
10105153928,10105153928,1,Good,Good,0
10105153929,10105153929,1,Good,Good,0
10105153930,10105153930,1,Good,Good,0
10105153931,10105153931,1,Good,Good,0
10105153932,10105153932,1,Good,Good,0
10105153933,10105153933,1,Good,Good,0
10105153934,10105153934,1,Good,Good,0
10105153935,10105153935,1,Good,Good,0
10105153936,10105153936,1,Good,Good,0
10105153937,10105153937,1,Good,Good,0
10105153938,10105153938,1,Good,Good,0
10105153939,10105153939,1,Good,Good,0
10105153940,10105153940,1,Good,Good,0
10105153941,10105153941,1,Good,Good,0
10105153942,10105153942,1,Good,Good,0
10105153943,10105153943,1,Good,Good,0
10105153944,10105153944,1,Good,Good,0
10105153945,10105153945,1,Good,Good,0
10105153946,10105153946,1,Good,Good,0
10105153947,10105153947,1,Good,Good,0
10105153948,10105153948,1,Good,Good,0
10105153949,10105153949,1,Good,Good,0
10105153950,10105153950,1,Good,Good,0
10105153951,10105153951,1,Good,Good,0
10105153952,10105153952,1,Good,Good,0
10105153953,10105153953,1,Good,Good,0
10105153954,10105153954,1,Good,Good,0
10105153955,10105153955,1,Good,Good,0
10105153956,10105153956,1,Good,Good,0
10105153957,10105153957,1,Good,Good,0
10105153958,10105153958,1,Good,Good,0
10105153959,10105153959,1,Good,Good,0
10105153960,10105153960,1,Good,Good,0
10105153961,10105153961,1,Good,Good,0
10105153962,10105153962,1,Good,Good,0
10105153963,10105153963,1,Good,Good,0
10105153964,10105153964,1,Good,Good,0
10105153965,10105153965,1,Good,Good,0
10105153966,10105153966,1,Good,Good,0
10105153967,10105153967,1,Good,Good,0
10105154001,10105154001,1,Good,Good,0
10105154002,10105154002,1,Good,Good,0
10105154003,10105154003,1,Good,Good,0
10105154004,10105154004,1,Good,Good,0
10105154005,10105154005,1,Good,Good,0
10105154006,10105154006,1,Good,Good,0
10105154007,10105154007,1,Good,Good,0
10105154008,10105154008,1,Good,Good,0
10105154009,10105154009,1,Good,Good,0
10105154010,10105154010,1,Good,Good,0
10105154011,10105154011,1,Good,Good,0
10105154012,10105154012,1,Good,Good,0
10105154013,10105154034,0.4612651,Poor,Good,0
10105154013,10105154035,0.5387349,Poor,Good,0
10105154014,10105154014,1,Good,Good,0
10105154015,10105154015,1,Good,Good,0
10105154016,10105154016,1,Good,Good,0
10105154017,10105154017,1,Good,Good,0
10105154018,10105154018,1,Good,Good,0
10105154019,10105154019,1,Good,Good,0
10105154020,10105154020,1,Good,Good,0
10105154021,10105154021,1,Good,Good,0
10105154022,10105154022,1,Good,Good,0
10105154023,10105154023,1,Good,Good,0
10105154024,10105154024,1,Good,Good,0
10105154025,10105154025,1,Good,Good,0
10105154026,10105154026,1,Good,Good,0
10105154027,10105154027,1,Good,Good,0
10105154028,10105154028,1,Good,Good,0
10105154029,10105154029,1,Good,Good,0
10105154030,10105154030,1,Good,Good,0
10105154031,10105154031,1,Good,Good,0
10105154032,10105154032,1,Good,Good,0
10105154033,10105154033,1,Good,Good,0
10106154101,10106154101,1,Good,Good,0
10106154102,10106154102,1,Good,Good,0
10106154103,10106154103,1,Good,Good,0
10106154104,10106154104,1,Good,Good,0
10106154105,10106154105,1,Good,Good,0
10106154106,10106154106,1,Good,Good,0
10106154107,10106154107,1,Good,Good,0
10106154108,10106154108,1,Good,Good,0
10106154109,10106154109,1,Good,Good,0
10106154110,10106154115,0.7945577,Acceptable,Good,0
10106154110,10106154118,0.2054423,Poor,Good,0
10106154111,10106154111,1,Good,Good,0
10106154112,10106154112,1,Good,Good,0
10106154113,10106154113,1,Good,Good,0
10106154114,10106154116,6.41E-05,Poor,Good,1
10106154114,10106154117,0.9999359,Good,Good,0
10106154201,10106154201,1,Good,Good,0
10106154202,10106154202,1,Good,Good,0
10106154203,10106154203,1,Good,Good,0
10106154204,10106154204,1,Good,Good,0
10106154205,10106154239,0.4334418,Poor,Good,0
10106154205,10106154243,0.5665582,Poor,Good,0
10106154206,10106154206,1,Good,Good,0
10106154207,10106154207,1,Good,Good,0
10106154208,10106154208,1,Good,Good,0
10106154209,10106154209,1,Good,Good,0
10106154210,10106154210,1,Good,Good,0
10106154211,10106154211,1,Good,Good,0
10106154212,10106154212,1,Good,Good,0
10106154213,10106154213,1,Good,Good,0
10106154214,10106154238,0.0161751,Good,Good,0
10106154214,10106154240,0.9838249,Good,Good,0
10106154215,10106154215,1,Good,Good,0
10106154216,10106154216,1,Good,Good,0
10106154217,10106154217,1,Good,Good,0
10106154218,10106154238,1,Good,Good,0
10106154219,10106154219,1,Good,Good,0
10106154220,10106154220,1,Good,Good,0
10106154221,10106154237,1,Good,Good,0
10106154222,10106154222,1,Good,Good,0
10106154223,10106154223,1,Good,Good,0
10106154224,10106154224,1,Good,Good,0
10106154225,10106154241,0.8329417,Acceptable,Good,0
10106154225,10106154242,0.1670583,Poor,Good,0
10106154226,10106154226,1,Good,Good,0
10106154227,10106154227,1,Good,Good,0
10106154228,10106154228,1,Good,Good,0
10106154229,10106154229,1,Good,Good,0
10106154230,10106154236,0.9350649,Good,Good,0
10106154230,10106154237,0.0649351,Good,Good,0
10106154231,10106154231,1,Good,Good,0
10106154232,10106154232,1,Good,Good,0
10106154233,10106154233,1,Good,Good,0
10106154234,10106154234,1,Good,Good,0
10106154235,10106154235,1,Good,Good,0
10106154301,10106154301,1,Good,Good,0
10106154302,10106154302,1,Good,Good,0
10106154303,10106154303,1,Good,Good,0
10106154304,10106154304,1,Good,Good,0
10106154305,10106154305,1,Good,Good,0
10106154306,10106154306,1,Good,Good,0
10106154307,10106154307,1,Good,Good,0
10106154308,10106154308,1,Good,Good,0
10106154309,10106154309,1,Good,Good,0
10106154310,10106154310,1,Good,Good,0
10106154311,10106154311,1,Good,Good,0
10106154312,10106154312,1,Good,Good,0
10106154313,10106154313,1,Good,Good,0
10106154314,10106154314,1,Good,Good,0
10106154315,10106154315,1,Good,Good,0
10106154316,10106154316,1,Good,Good,0
10106154317,10106154317,1,Good,Good,0
10106154318,10106154318,1,Good,Good,0
10106154319,10106154319,1,Good,Good,0
10106154320,10106154320,1,Good,Good,0
10106154321,10106154321,1,Good,Good,0
10106154322,10106154322,1,Good,Good,0
10106154323,10106154323,1,Good,Good,0
10106154324,10106154324,1,Good,Good,0
10106154325,10106154325,1,Good,Good,0
10106154326,10106154326,1,Good,Good,0
10106154327,10106154327,1,Good,Good,0
10106154328,10106154328,1,Good,Good,0
10106154329,10106154329,1,Good,Good,0
