LGA_CODE_2016,LGA_NAME_2016,CED_CODE_2018,CED_NAME_2018,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
15850,Narromine (A),134,Parkes,1,Good,Poor,0
15900,Newcastle (C),121,Hunter,0.0055752,Poor,Poor,1
15900,Newcastle (C),131,Newcastle,0.9603881,Good,Poor,0
15900,Newcastle (C),136,Paterson,0.0334702,Acceptable,Poor,0
15900,Newcastle (C),141,Shortland,0.0005665,Poor,Poor,1
15950,North Sydney (A),132,North Sydney,0.784511,Acceptable,Poor,0
15950,North Sydney (A),143,Warringah,0.215489,Poor,Poor,0
15990,Northern Beaches (A),126,Mackellar,0.587386,Poor,Poor,0
15990,Northern Beaches (A),143,Warringah,0.412614,Poor,Poor,0
16100,Oberon (A),107,Calare,1,Good,Poor,0
16100,Oberon (A),120,Hume,0,Acceptable,Poor,1
16150,Orange (C),107,Calare,1,Good,Poor,0
16200,Parkes (A),139,Riverina,1,Good,Poor,0
16260,Parramatta (C),103,Bennelong,0.2128584,Poor,Poor,0
16260,Parramatta (C),104,Berowra,0.0130928,Poor,Poor,0
16260,Parramatta (C),118,Greenway,1.33e-05,Poor,Poor,1
16260,Parramatta (C),129,Mitchell,0.117163,Poor,Poor,0
16260,Parramatta (C),135,Parramatta,0.5739648,Poor,Poor,0
16260,Parramatta (C),137,Reid,0.0829077,Acceptable,Poor,0
16350,Penrith (C),120,Hume,0.0071056,Acceptable,Poor,1
16350,Penrith (C),123,Lindsay,0.8494106,Acceptable,Poor,0
16350,Penrith (C),128,McMahon,0.1434838,Poor,Poor,0
16380,Port Macquarie-Hastings (A),110,Cowper,0.6027649,Acceptable,Poor,0
16380,Port Macquarie-Hastings (A),124,Lyne,0.3972351,Acceptable,Poor,0
16400,Port Stephens (A),124,Lyne,0.0987606,Acceptable,Poor,0
16400,Port Stephens (A),136,Paterson,0.9012394,Acceptable,Poor,0
16490,Queanbeyan-Palerang Regional (A),113,Eden-Monaro,0.9958575,Good,Poor,0
16490,Queanbeyan-Palerang Regional (A),120,Hume,0.0041425,Acceptable,Poor,1
16550,Randwick (C),122,Kingsford Smith,0.9208907,Good,Poor,0
16550,Randwick (C),145,Wentworth,0.0791093,Acceptable,Poor,0
16610,Richmond Valley (A),133,Page,1,Acceptable,Poor,0
16650,Rockdale (C),102,Barton,0.8167859,Poor,Poor,0
16650,Rockdale (C),109,Cook,0.1829396,Poor,Poor,0
16650,Rockdale (C),122,Kingsford Smith,0.0002745,Good,Poor,1
16700,Ryde (C),103,Bennelong,1,Poor,Poor,0
16900,Shellharbour (C),147,Whitlam,1,Poor,Poor,0
16950,Shoalhaven (C),116,Gilmore,1,Good,Poor,0
17000,Singleton (A),107,Calare,0,Good,Poor,1
17000,Singleton (A),121,Hunter,1,Poor,Poor,0
17040,Snowy Monaro Regional (A),113,Eden-Monaro,1,Good,Poor,0
17080,Snowy Valleys (A),113,Eden-Monaro,1,Good,Poor,0
17100,Strathfield (A),137,Reid,0.8379171,Acceptable,Poor,0
17100,Strathfield (A),144,Watson,0.1620829,Poor,Poor,0
17150,Sutherland Shire (A),109,Cook,0.476081,Poor,Poor,0
17150,Sutherland Shire (A),111,Cunningham,0,Acceptable,Poor,1
17150,Sutherland Shire (A),119,Hughes,0.523919,Poor,Poor,0
17150,Sutherland Shire (A),125,Macarthur,0,Poor,Poor,1
17200,Sydney (C),117,Grayndler,0,Acceptable,Poor,1
17200,Sydney (C),142,Sydney,0.9338786,Good,Poor,0
17200,Sydney (C),145,Wentworth,0.0661214,Acceptable,Poor,0
