LOCALITY_PID_NOV2019,LOCALITY_NAME_NOV2019,SED_CODE_2019,SED_NAME_2019,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1104,COURAGAGO,10087,Wagga Wagga,1,Good,Good,0
NSW1105,COURIDJAH,10091,Wollondilly,1,Good,Good,0
NSW1106,COUTTS CROSSING,10019,Clarence,1,Good,Good,0
NSW1107,COW FLAT,10007,Bathurst,1,Good,Good,0
NSW1108,COWABBIE,10022,Cootamundra,1,Good,Good,0
NSW1109,COWAN,10037,Hornsby,1,Acceptable,Good,0
NSW1110,COWPER,10019,Clarence,1,Good,Good,0
NSW1111,COWRA,10022,Cootamundra,1,Good,Good,0
NSW1112,COXS CREEK,10007,Bathurst,1,Good,Good,0
NSW1113,COXS CROWN,10085,Upper Hunter,1,Good,Good,0
NSW1114,CRABBES CREEK,10084,Tweed,1,Good,Good,0
NSW1115,CRACKENBACK,10053,Monaro,1,Good,Good,0
NSW1116,CRAIGIE,10053,Monaro,1,Good,Good,0
NSW1117,CRANEBROOK,10047,Londonderry,0.031246,Good,Good,0
NSW1117,CRANEBROOK,10066,Penrith,0.968754,Good,Good,0
NSW1118,CRANGAN BAY,10079,Swansea,1,Good,Good,0
NSW1119,CRAVEN,10085,Upper Hunter,1,Good,Good,0
NSW112,AVISFORD,10026,Dubbo,1,Good,Good,0
NSW1120,CRAVEN PLATEAU,10085,Upper Hunter,1,Good,Good,0
NSW1121,CRAWFORD RIVER,10057,Myall Lakes,1,Good,Good,0
NSW1122,CRAWNEY,10081,Tamworth,0.9999997,Good,Good,0
NSW1122,CRAWNEY,10085,Upper Hunter,3e-07,Good,Good,1
NSW1123,CREEWAH,10053,Monaro,1,Good,Good,0
NSW1124,CREMORNE,10060,North Shore,0.3562497,Good,Good,0
NSW1124,CREMORNE,10090,Willoughby,0.6437503,Acceptable,Good,0
NSW1125,CREMORNE POINT,10060,North Shore,1,Good,Good,0
NSW1126,CRESCENT HEAD,10064,Oxley,1,Good,Good,0
NSW1127,CRESTWOOD,10053,Monaro,1,Good,Good,0
NSW1128,CRINGILA,10092,Wollongong,1,Good,Good,0
NSW1129,CROKI,10057,Myall Lakes,1,Good,Good,0
NSW113,AVOCA,10031,Goulburn,1,Good,Good,0
NSW1130,CROMER,10088,Wakehurst,1,Acceptable,Good,0
