DZN_CODE_2011,DZN_CODE_2011,LGA_CODE_2018,LGA_CODE_2018,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
111147130,111147130,15050,15050,1,Good,Good,0
111147131,111147131,15050,15050,1,Good,Good,0
111157144,111157144,15050,15050,1,Good,Good,0
111157145,111157145,15050,15050,1,Good,Good,0
111157146,111157146,15050,15050,1,Good,Good,0
111157147,111157147,15050,15050,1,Good,Good,0
111157148,111157148,15050,15050,1,Good,Good,0
111157149,111157149,15050,15050,1,Good,Good,0
111157150,111157150,15050,15050,1,Good,Good,0
111157151,111157151,15050,15050,1,Good,Good,0
111157152,111157152,15050,15050,1,Good,Good,0
111157153,111157153,15050,15050,1,Good,Good,0
111157154,111157154,15050,15050,1,Good,Good,0
111167115,111167115,15050,15050,1,Good,Good,0
111167116,111167116,15050,15050,1,Good,Good,0
111177095,111177095,11720,11720,0.0970974,Good,Good,0
111177095,111177095,15050,15050,0.9029026,Good,Good,0
111177096,111177096,15050,15050,1,Good,Good,0
111177097,111177097,15050,15050,1,Good,Good,0
111177098,111177098,15050,15050,1,Good,Good,0
111177099,111177099,15050,15050,1,Good,Good,0
111177100,111177100,15050,15050,1,Good,Good,0
111177101,111177101,15050,15050,1,Good,Good,0
111177102,111177102,15050,15050,1,Good,Good,0
111187167,111187167,15050,15050,1,Good,Good,0
111187168,111187168,15050,15050,1,Good,Good,0
111187169,111187169,15050,15050,1,Good,Good,0
111197246,111197246,16400,16400,1,Good,Good,0
111197247,111197247,16400,16400,1,Good,Good,0
111207232,111207232,16400,16400,1,Good,Good,0
111207233,111207233,16400,16400,1,Good,Good,0
111217260,111217260,16400,16400,1,Good,Good,0
111217261,111217261,16400,16400,1,Good,Good,0
111217262,111217262,16400,16400,1,Good,Good,0
111217263,111217263,16400,16400,1,Good,Good,0
111217264,111217264,16400,16400,1,Good,Good,0
